This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Mon Nov 07 2016 20:50:04 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"ashley_collins","@DrakeGentile23 😂😂😂😂 how long did it take you to find this article","Tue Nov 08 01:50:03 +0000 2016","michigan","null","Southfield, MI"
"NuggetQueen92","@cosmicvirgin Okaaaayyyyyyy! :D","Tue Nov 08 01:50:03 +0000 2016","Orlando, FL","null","Livonia, MI"
"shainasix66","but... but.. I don't want a new president 😔","Tue Nov 08 01:50:03 +0000 2016","ATX ","null","Austin, TX"
"HaitianBreezie","😍😍 https://t.co/Tupm5FCKIa","Tue Nov 08 01:50:03 +0000 2016","St. Louis, MO","null","St Louis, MO"
"MackDaddyMeach","That love and hip hop shit cool 😎😎 https://t.co/PulP3FJ7Aj","Tue Nov 08 01:50:03 +0000 2016","North Philly","null","Philadelphia, PA"
"MattSanchez579","#MannequinChallenge https://t.co/HfpCn3x3M9","Tue Nov 08 01:50:03 +0000 2016","Rocklin, CA","null","Rocklin, CA"
"WriteOnRubee","crutacos @ CRUjiente TACOS https://t.co/Vo93ReWUCA","Tue Nov 08 01:50:03 +0000 2016","Phoenix, AZ by way of Boston","[object Object]","Phoenix, AZ"
"jwbul287","@LGhail @Kidnplay_abc123 @espn @ESPNCFB @CoachJim4UM Gdammit","Tue Nov 08 01:50:03 +0000 2016","Alabama, USA","null","Helena, AL"
"recruiteraz","We're #hiring! Read about our latest #job opening here: Surgical Tech General Surgery (Part-Time/Days) Weekends - https://t.co/NegS5RAvUY","Tue Nov 08 01:50:03 +0000 2016","Phoenix, AZ","[object Object]","Phoenix, AZ"
"alpal710","when i made that poetic tweet about post festival depression and the OP accused me of "molly water talk" because i have a spirithood","Tue Nov 08 01:50:03 +0000 2016","3OH!3","null","Denver, CO"
"galesongmusic","@JoeyImage @nerdtacularshow That would be awesome! We love being with fellow nerds/gamers!","Tue Nov 08 01:50:03 +0000 2016","Utah","null","Provo, UT"
"_HotBoy_J","Man I forgot I had this big ass box of Honey Nut Cheerios bouta fuck it up 😭😭😂","Tue Nov 08 01:50:03 +0000 2016","Marrero, LA","null","New Orleans, LA"
"DaryusMcQuel_","My mom knows how's to ruin my day every time we talk smfh!!!","Tue Nov 08 01:50:03 +0000 2016","gettin money ","null","Virginia, USA"
"elisegustavson","@isolinallaguno snake https://t.co/PpsBwStTHM","Tue Nov 08 01:50:03 +0000 2016","null","null","Sparks, NV"
"mendez_elisabel","This Hennessy getting to me","Tue Nov 08 01:50:03 +0000 2016","DeKalb, IL","null","Chicago, IL"
"Malorie_Moore3","@Kkick_5 BUT GREEN ON THE VINE","Tue Nov 08 01:50:03 +0000 2016","United States","null","Walnut Ridge, AR"
"vansciverju","I hate seein shady in a bills uniform","Tue Nov 08 01:50:03 +0000 2016","New Jersey","null","Mount Holly, NJ"
"Deanta4","Females will literally do anything to make you mad the whole time they just hurting they self 😂","Tue Nov 08 01:50:03 +0000 2016","Danville, IL","null","Danville, IL"
"itskwilliams","i hate that i always feel sick 🙄","Tue Nov 08 01:50:04 +0000 2016","buy more nerd herd","null","Texas, USA"
"moutoncovewx","65.1F (Feels: 66.1F) - Humidity: 90% - Wind: 4.4mph E - Gust: 4.2mph - Pressure: 30.101in #weather https://t.co/75yzNJ23Eh","Tue Nov 08 01:50:03 +0000 2016","Mouton Cove, Abbeville, LA","[object Object]","Louisiana, USA"
"Bootsielou88","@CLTfoodfight nah, I'm probably gonna be around more often  come December !","Tue Nov 08 01:50:03 +0000 2016","null","null","Concord, NC"
"Bianca_Irizarry","Baby you should be up in my beddddd","Tue Nov 08 01:50:04 +0000 2016","null","null","New London, CT"
"mayread3","Ha ha ha ha https://t.co/IXYru2spcC","Tue Nov 08 01:50:03 +0000 2016","New York","null","New York, USA"
"ferhuez","@Lhector06 ocupas corriente?","Tue Nov 08 01:50:03 +0000 2016","null","null","Hermosillo, Sonora"
"JuliaaRaee","Weeeiirrrrd","Tue Nov 08 01:50:03 +0000 2016","Orange County, Ca","null","Irvine, CA"
"alannarutchasky","Determination😈","Tue Nov 08 01:50:04 +0000 2016","Minnesota, USA","null","Minnesota, USA"
"Daniela03121963","@TexasStateVball you girls rock my world 😘 https://t.co/FFH6hx9xes","Tue Nov 08 01:50:04 +0000 2016","null","null","Memphis, TN"
"_MrChairman_","Literally my favorite day of the year https://t.co/nKcslEuIe1","Tue Nov 08 01:50:04 +0000 2016","null","null","Sandusky, OH"
"realshittroyyy","@FullyFlaredFred the best","Tue Nov 08 01:50:04 +0000 2016","LA","null","Los Angeles, CA"
"Royalmiss__","Best bet is to keep your options open bc the one you talk to, talking to somebody else too. Trust me.","Tue Nov 08 01:50:04 +0000 2016","Arkansas, USA","null","Texarkana, TX"
"LEXITAUGHTYOUU","Lmfaoooooo what https://t.co/tJePMPEG5m","Tue Nov 08 01:50:03 +0000 2016","Dallas/Denton","null","Denton, TX"
"bluehurricanes","@slimeblight  is Anna drinking enough water and eating properly","Tue Nov 08 01:50:04 +0000 2016","Chihuahua, México","null","Chihuahua, México"
"happyasaclam68","@MrJoeRussell https://t.co/GVxY2Fpd4L","Tue Nov 08 01:50:04 +0000 2016","null","null","Richardson, TX"
