This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Mon Nov 07 2016 20:55:34 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"rick_b1024","I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/Oi7UAAFLex","Tue Nov 08 01:55:34 +0000 2016","Medina, OH","null","Medina, OH"
"kkenjira","2019 ? https://t.co/qxC5r2KJN9","Tue Nov 08 01:55:34 +0000 2016","Louisiana, USA","null","Amite City, LA"
"NitoLTE","I'm so high watching Monday Night #RAW 💨💨💨💨💨💨💨💨💨💨","Tue Nov 08 01:55:34 +0000 2016","Kitchener,Ontario","null","Kitchener, Ontario"
"nevanmartrich","@JaySimpson_12 https://t.co/5bbrfkNVkX","Tue Nov 08 01:55:34 +0000 2016","Ohio, USA","null","Howland Center, OH"
"KianaGonzalez3","It is so brutally cold I'm LITERALLY considering running back to my dorm... I NEVER RUN... EVER!!! BUT TONIGHT MIGHT BE THE NIGHT","Tue Nov 08 01:55:34 +0000 2016","Monmouth University ","null","West Long Branch, NJ"
"_iamrichj","😅😅 thick and fine lol","Tue Nov 08 01:55:34 +0000 2016","7.","null","Detroit, MI"
"LexiiiHoanggg","Boy why is this soooo cute 😩 https://t.co/CW4FpELi2E","Tue Nov 08 01:55:34 +0000 2016","null","null","Haltom City, TX"
"mads_almighty","so me https://t.co/hGbUPNilTA","Tue Nov 08 01:55:34 +0000 2016","Providence, RI","null","Providence, RI"
"CalliopeCo","Hope this 🐍 will crawl - post haste - back under whatever rock he crawled out from under to follow Trump! https://t.co/tyC0OHruUU","Tue Nov 08 01:55:34 +0000 2016","Santa Cruz County CA","null","Aptos, CA"
"vannieulande","@mtloridon Betts, Bryant, Fulmer, Seager, Hendricks, and probably JV honestly","Tue Nov 08 01:55:34 +0000 2016","East Lansing, MI","null","East Lansing, MI"
"alenaaaraee","i love apples w peanut butter","Tue Nov 08 01:55:34 +0000 2016","san jose","null","San Jose, CA"
"ginafiorani","It's really amazing to me how one person can change your entire mood","Tue Nov 08 01:55:34 +0000 2016","South Jersey","null","Bridgeton, NJ"
"alliyyahhhh","everybody talk down on everybody , that's why ion fw everybody 🗣","Tue Nov 08 01:55:34 +0000 2016","Franklinton, LA","null","Franklinton, LA"
"karelyanette_","I killed my babe but I'm still laughing so much it's insane I can't stop smiling at the moment when you know you ar… https://t.co/FjY5TobKAy","Tue Nov 08 01:55:34 +0000 2016","null","null","Tyler, TX"
"brigge","@peterdaou cha-ching","Tue Nov 08 01:55:34 +0000 2016","Spanaway    washington","null","Washington, USA"
"ASHARMA000","@JagratiShukla28 @sumitsinghaap it seems they have nothing else to do","Tue Nov 08 01:55:34 +0000 2016","Ashburn, Va","null","Ashburn, VA"
"lulteeeteee","Follow @Bigdawgmariii 💙🤘🏾","Tue Nov 08 01:55:34 +0000 2016","D〽️V + Ramon ❤️","null","Clinton, MD"
"PaneraCareers","Join the Paradise Bakery team! See our latest #job opening here: https://t.co/oJWSb9V4IU #parttime #Hospitality… https://t.co/5DGjnvb29B","Tue Nov 08 01:55:34 +0000 2016","null","[object Object]","Noblesville, IN"
"bayleering","So am I!!!😍😍😍😍😍😍 https://t.co/K9apIreqFi","Tue Nov 08 01:55:34 +0000 2016","null","null","Midwest City, OK"
"SaintLukesJobs","If you're looking for work in #Smithville, MO, check out this #job: https://t.co/q7Godv8aKd #LPN #Hiring https://t.co/2VrsTPZEQM","Tue Nov 08 01:55:34 +0000 2016","Greater Kansas City Area","[object Object]","Smithville, MO"
"Gravity_Defier","@Dom_Squad 😳😳😳😳 prove it dude?","Tue Nov 08 01:55:34 +0000 2016","null","null","Kentucky, USA"
"LiyahThaPurp","RFT https://t.co/hbkyJ8ijsa","Tue Nov 08 01:55:34 +0000 2016","null","null","Tyler, TX"
"SlMiix","twitter use to be lit when you can change people's tweets 💀💀","Tue Nov 08 01:55:34 +0000 2016","Dalla$, TX","null","Dallas, TX"
"MorrisChesthair","@KingofClass whenever in 2017. I wanted to buy them for my parents. If you could, that would be greatly appreciated bro.","Tue Nov 08 01:55:34 +0000 2016","Englewood x NJ","null","Teaneck, NJ"
"_aelarac","@JuiceGodDee 😉😉😉","Tue Nov 08 01:55:34 +0000 2016","LB6","null","North Carolina, USA"
"FrankBeOnNat","my fucking boy✅😂 https://t.co/9Wu04rqA8b","Tue Nov 08 01:55:34 +0000 2016","Chicago","null","Macomb, IL"
"JacobSloan22","@coastredmusic has some great shows coming up. Check us out. @ San Diego State University https://t.co/h67QuIRQLt","Tue Nov 08 01:55:34 +0000 2016","null","[object Object]","San Diego, CA"
"marytg66","@LALATE Andy #RHOCreunion","Tue Nov 08 01:55:34 +0000 2016","Philadelphia, PA.","null","Philadelphia, PA"
"RWeidenmaier","#SMILE When people don't agree with you, it doesn't mean you're wrong.
&lt;(English - The bandage was wound around the wound.)&gt;
#WakeUpAmerica","Tue Nov 08 01:55:34 +0000 2016","Republic, Missouri","null","Missouri, USA"
"maegannsloan","i also love sarcasm","Tue Nov 08 01:55:34 +0000 2016","OK","null","Moore, OK"
"beatpunk","@anamariecox #BasketOfAdorables https://t.co/xOVIidW3YG","Tue Nov 08 01:55:34 +0000 2016","Washington, DC","null","Washington, DC"
"bstrickwriter","Thank u to Beverly Hills Dental Alerts for the follow on Instagram!","Tue Nov 08 01:55:34 +0000 2016","Beverly Hills Adjacent, CA","null","Los Angeles, CA"
"MikeChase864","Thanks 👌🏽 https://t.co/5aFsrIvam3","Tue Nov 08 01:55:34 +0000 2016","s o u t h c a r o l i n a","null","Abbeville, SC"
"thedancingspiri","@thedancingspiri #DANCE after you #VOTE  Even if you're late!!! 6:30-8 https://t.co/qavfF1vAlr .","Tue Nov 08 01:55:34 +0000 2016","219 Nanaquaket Rd.,Tiverton,RI","null","the dancing spirit studio"
